open,high,low,close,adjclose,volume,ticker
11387.349609375,11433.0,11036.25,11132.75,11132.75,680800.0,^NSEI
11326.2001953125,11352.2998046875,11276.599609375,11341.7001953125,11341.7001953125,383000.0,^NSEI
10736.400390625,10779.4501953125,10709.0498046875,10767.650390625,10767.650390625,209400.0,^NSEI
10783.849609375,10784.650390625,10689.7998046875,10718.0498046875,10718.0498046875,229700.0,^NSEI
19463.75,19537.650390625,19296.44921875,19381.650390625,19381.650390625,315700.0,^NSEI
11736.2001953125,11810.9501953125,11731.5498046875,11787.150390625,11787.150390625,354300.0,^NSEI
10842.650390625,10877.900390625,10823.099609375,10863.5,10863.5,308500.0,^NSEI
10965.099609375,11072.599609375,10962.7001953125,11062.4501953125,11062.4501953125,298500.0,^NSEI
10560.349609375,10582.349609375,10527.4501953125,10564.0498046875,10564.0498046875,244600.0,^NSEI
11596.2001953125,11651.599609375,11554.400390625,11604.099609375,11604.099609375,664200.0,^NSEI
18752.400390625,18781.94921875,18639.19921875,18696.099609375,18696.099609375,254400.0,^NSEI
11727.9501953125,11784.7998046875,11682.400390625,11737.900390625,11737.900390625,355900.0,^NSEI
18229.5,18241.400390625,17968.5,18125.400390625,18125.400390625,418700.0,^NSEI
10331.5498046875,10492.4501953125,10322.150390625,10472.5,10472.5,343500.0,^NSEI
14550.0498046875,14617.7998046875,14471.5,14595.599609375,14595.599609375,620200.0,^NSEI
15774.5,15890.0,15728.849609375,15780.25,15780.25,306000.0,^NSEI
17861.5,17884.599609375,17613.150390625,17646.0,17646.0,395800.0,^NSEI
17797.599609375,17905.0,17704.55078125,17812.69921875,17812.69921875,239300.0,^NSEI
11638.400390625,11689.650390625,11609.5,11665.9501953125,11665.9501953125,266700.0,^NSEI
8529.349609375,8678.2998046875,8358.0,8597.75,8597.75,712700.0,^NSEI
16128.2001953125,16140.0,15950.150390625,15966.650390625,15966.650390625,233300.0,^NSEI
11576.2001953125,11581.75,11539.599609375,11570.900390625,11570.900390625,224200.0,^NSEI
12079.099609375,12152.150390625,12005.349609375,12052.9501953125,12052.9501953125,447800.0,^NSEI
12202.150390625,12222.2001953125,12165.2998046875,12182.5,12182.5,304100.0,^NSEI
18201.099609375,18335.25,18178.849609375,18314.400390625,18314.400390625,262600.0,^NSEI
11018.7998046875,11058.5,10979.2998046875,11027.7001953125,11027.7001953125,245900.0,^NSEI
18748.55078125,18829.25,18714.25,18817.400390625,18817.400390625,222500.0,^NSEI
9876.7001953125,10003.599609375,9833.7998046875,9881.150390625,9881.150390625,685400.0,^NSEI
17242.75,17315.30078125,17149.19921875,17171.94921875,17171.94921875,262700.0,^NSEI
18117.30078125,18216.94921875,18055.44921875,18069.0,18069.0,239700.0,^NSEI
16227.7001953125,16403.69921875,16142.099609375,16301.849609375,16301.849609375,288400.0,^NSEI
10715.0,10777.150390625,10677.75,10769.900390625,10769.900390625,173900.0,^NSEI
10093.7998046875,10177.7998046875,10040.75,10142.150390625,10142.150390625,987100.0,^NSEI
10718.150390625,10722.650390625,10588.25,10601.150390625,10601.150390625,318500.0,^NSEI
10508.7001953125,10558.849609375,10474.9501953125,10488.4501953125,10488.4501953125,381300.0,^NSEI
17258.94921875,17275.650390625,16824.69921875,16958.650390625,16958.650390625,401400.0,^NSEI
9226.7998046875,9346.900390625,9116.5,9270.900390625,9270.900390625,722200.0,^NSEI
14999.0498046875,15010.099609375,14635.0498046875,14675.7001953125,14675.7001953125,609900.0,^NSEI
15272.650390625,15400.400390625,15183.400390625,15293.5,15293.5,342600.0,^NSEI
11556.349609375,11593.599609375,11499.75,11512.400390625,11512.400390625,650000.0,^NSEI
12102.349609375,12103.5498046875,11990.75,12031.5,12031.5,524700.0,^NSEI
17220.099609375,17285.94921875,17176.650390625,17213.599609375,17213.599609375,161700.0,^NSEI
11939.099609375,12044.9501953125,11929.599609375,12025.349609375,12025.349609375,446000.0,^NSEI
10389.5,10478.599609375,10377.849609375,10426.849609375,10426.849609375,266700.0,^NSEI
17613.69921875,17707.599609375,17485.849609375,17617.150390625,17617.150390625,277600.0,^NSEI
17731.44921875,17735.69921875,17537.55078125,17662.150390625,17662.150390625,398300.0,^NSEI
16078.0,16418.05078125,15990.0,16345.349609375,16345.349609375,462200.0,^NSEI
10689.400390625,10717.25,10616.099609375,10633.2998046875,10633.2998046875,225800.0,^NSEI
16854.75,16945.69921875,16651.849609375,16682.650390625,16682.650390625,265800.0,^NSEI
18368.349609375,18508.55078125,18333.150390625,18499.349609375,18499.349609375,198700.0,^NSEI
10169.7998046875,10335.9501953125,10138.599609375,10234.650390625,10234.650390625,483500.0,^NSEI
10615.2001953125,10631.650390625,10537.25,10554.2998046875,10554.2998046875,187500.0,^NSEI
18046.349609375,18096.150390625,17861.5,17877.400390625,17877.400390625,289600.0,^NSEI
15291.75,15293.849609375,15163.400390625,15208.4501953125,15208.4501953125,441500.0,^NSEI
10699.7001953125,10741.0498046875,10628.650390625,10727.349609375,10727.349609375,296600.0,^NSEI
17315.25,17484.599609375,17308.94921875,17469.75,17469.75,257800.0,^NSEI
17783.150390625,17954.099609375,17697.099609375,17929.650390625,17929.650390625,281200.0,^NSEI
17338.75,17355.400390625,16985.69921875,17026.44921875,17026.44921875,356300.0,^NSEI
11217.5498046875,11342.25,11152.5498046875,11303.2998046875,11303.2998046875,696500.0,^NSEI
16662.55078125,16706.05078125,16564.25,16631.0,16631.0,211400.0,^NSEI
17097.400390625,17205.400390625,17045.30078125,17076.900390625,17076.900390625,219200.0,^NSEI
11135.0,11239.7998046875,11103.150390625,11215.4501953125,11215.4501953125,621600.0,^NSEI
13393.849609375,13435.4501953125,13311.0498046875,13392.9501953125,13392.9501953125,543200.0,^NSEI
10552.0,10600.25,10491.4501953125,10530.0,10530.0,0.0,^NSEI
17329.25,17377.650390625,17053.25,17102.55078125,17102.55078125,336200.0,^NSEI
17767.75,17781.150390625,17511.150390625,17560.19921875,17560.19921875,226600.0,^NSEI
15912.599609375,16284.25,15900.7998046875,16259.2998046875,16259.2998046875,295700.0,^NSEI
10741.9501953125,10812.0498046875,10724.4501953125,10806.5,10806.5,203100.0,^NSEI
18120.599609375,18286.94921875,18100.30078125,18264.400390625,18264.400390625,228400.0,^NSEI
17209.05078125,17216.75,16891.69921875,16912.25,16912.25,231700.0,^NSEI
11865.2998046875,11968.5498046875,11859.400390625,11945.900390625,11945.900390625,421200.0,^NSEI
10518.5,10637.7998046875,10479.5498046875,10576.849609375,10576.849609375,232200.0,^NSEI
11487.2001953125,11535.9501953125,11442.25,11521.7998046875,11521.7998046875,506700.0,^NSEI
18121.30078125,18127.599609375,17856.0,17914.150390625,17914.150390625,283300.0,^NSEI
11735.7001953125,11796.75,11624.2998046875,11641.7998046875,11641.7998046875,604400.0,^NSEI
11768.150390625,11871.849609375,11757.5498046875,11847.5498046875,11847.5498046875,327900.0,^NSEI
12860.099609375,12948.849609375,12819.349609375,12938.25,12938.25,731300.0,^NSEI
17202.900390625,17344.599609375,17175.75,17287.05078125,17287.05078125,448300.0,^NSEI
,,,,,,^NSEI
17796.25,17805.25,17280.44921875,17416.55078125,17416.55078125,356400.0,^NSEI
10652.0498046875,10655.5,10592.7001953125,10632.2001953125,10632.2001953125,176400.0,^NSEI
19462.80078125,19538.849609375,19436.44921875,19517.0,19517.0,280800.0,^NSEI
12068.5,12114.900390625,12055.150390625,12100.7001953125,12100.7001953125,584200.0,^NSEI
18303.400390625,18344.19921875,18229.650390625,18265.94921875,18265.94921875,245400.0,^NSEI
10780.25,10785.75,10620.400390625,10724.400390625,10724.400390625,521900.0,^NSEI
19258.150390625,19458.55078125,19255.69921875,19435.30078125,19435.30078125,333000.0,^NSEI
11006.9501953125,11078.2998046875,10999.650390625,11023.2001953125,11023.2001953125,248300.0,^NSEI
17329.5,17353.349609375,17096.400390625,17117.599609375,17117.599609375,285500.0,^NSEI
14599.599609375,14697.7001953125,14559.0,14617.849609375,14617.849609375,577200.0,^NSEI
17427.94921875,17428.05078125,17312.75,17398.05078125,17398.05078125,230200.0,^NSEI
11164.400390625,11170.150390625,10943.599609375,10967.400390625,10967.400390625,0.0,^NSEI
10708.75,10757.7998046875,10699.849609375,10728.849609375,10728.849609375,424500.0,^NSEI
17867.5,17999.349609375,17774.25,17956.599609375,17956.599609375,256700.0,^NSEI
16870.55078125,17037.599609375,16820.400390625,16858.599609375,16858.599609375,323900.0,^NSEI
18033.150390625,18049.650390625,17853.650390625,17894.849609375,17894.849609375,206200.0,^NSEI
10997.400390625,11092.900390625,10994.5498046875,11083.7001953125,11083.7001953125,284600.0,^NSEI
17055.80078125,17160.69921875,16782.400390625,17053.94921875,17053.94921875,348900.0,^NSEI
11139.400390625,11145.900390625,10901.599609375,10925.849609375,10925.849609375,624600.0,^NSEI
11500.2998046875,11543.849609375,11451.25,11532.400390625,11532.400390625,326100.0,^NSEI
17898.650390625,17968.44921875,17852.05078125,17956.5,17956.5,263900.0,^NSEI
11928.7998046875,11969.25,11923.650390625,11946.75,11946.75,333600.0,^NSEI
9016.9501953125,9044.400390625,8909.400390625,8981.4501953125,8981.4501953125,655100.0,^NSEI
19246.5,19345.099609375,19234.400390625,19322.55078125,19322.55078125,226100.0,^NSEI
10239.400390625,10285.099609375,10175.349609375,10198.400390625,10198.400390625,289800.0,^NSEI
13547.2001953125,13589.650390625,13447.0498046875,13567.849609375,13567.849609375,497600.0,^NSEI
11354.400390625,11452.0498046875,11303.650390625,11333.849609375,11333.849609375,681300.0,^NSEI
11314.150390625,11345.7998046875,11251.0498046875,11278.900390625,11278.900390625,387300.0,^NSEI
11018.150390625,11034.2001953125,10906.650390625,10918.7001953125,10918.7001953125,557900.0,^NSEI
17809.099609375,18114.650390625,17791.400390625,18053.400390625,18053.400390625,345500.0,^NSEI
10235.5498046875,10361.7998046875,10194.5,10288.900390625,10288.900390625,994200.0,^NSEI
18294.80078125,18392.599609375,18262.94921875,18285.400390625,18285.400390625,232600.0,^NSEI
10072.599609375,10148.75,10036.849609375,10116.150390625,10116.150390625,632400.0,^NSEI
16187.0498046875,16359.5,16187.0498046875,16340.5498046875,16340.5498046875,222600.0,^NSEI
11877.5,11883.0498046875,11779.900390625,11797.900390625,11797.900390625,461000.0,^NSEI
16984.30078125,17091.0,16918.55078125,16985.69921875,16985.69921875,218400.0,^NSEI
10054.25,10123.849609375,9944.25,10029.099609375,10029.099609375,775100.0,^NSEI
17811.599609375,17972.19921875,17353.400390625,17616.30078125,17616.30078125,512900.0,^NSEI
11744.4501953125,11802.5,11625.099609375,11691.4501953125,11691.4501953125,446900.0,^NSEI
17947.94921875,17988.75,17757.94921875,17829.19921875,17829.19921875,331000.0,^NSEI
9323.4501953125,9324.0,9091.349609375,9266.75,9266.75,684200.0,^NSEI
11109.0,11143.400390625,11092.5,11134.2998046875,11134.2998046875,205800.0,^NSEI
19659.75,19695.900390625,19563.099609375,19646.05078125,19646.05078125,258700.0,^NSEI
11515.400390625,11554.2001953125,11247.900390625,11359.900390625,11359.900390625,1305400.0,^NSEI
11360.849609375,11462.349609375,11342.099609375,11428.2998046875,11428.2998046875,527400.0,^NSEI
10688.7001953125,10710.150390625,10436.4501953125,10453.0498046875,10453.0498046875,284800.0,^NSEI
14816.849609375,14863.0498046875,14765.5,14823.150390625,14823.150390625,488000.0,^NSEI
11476.849609375,11479.400390625,11274.0,11287.5,11287.5,0.0,^NSEI
11514.150390625,11562.25,11436.0498046875,11536.900390625,11536.900390625,247900.0,^NSEI
16773.150390625,16936.400390625,16688.25,16770.849609375,16770.849609375,241000.0,^NSEI
12047.349609375,12057.0498046875,11888.849609375,11921.5,11921.5,609200.0,^NSEI
10614.7001953125,10619.5498046875,10544.849609375,10585.2001953125,10585.2001953125,296600.0,^NSEI
17615.55078125,17750.900390625,17581.349609375,17691.25,17691.25,295800.0,^NSEI
11770.400390625,11771.900390625,11523.2998046875,11558.599609375,11558.599609375,464000.0,^NSEI
17721.75,17870.30078125,17584.19921875,17854.05078125,17854.05078125,424100.0,^NSEI
10876.75,10927.900390625,10814.150390625,10912.25,10912.25,318300.0,^NSEI
19298.349609375,19366.849609375,19249.69921875,19306.05078125,19306.05078125,248200.0,^NSEI
11011.0,11015.2998046875,10790.2001953125,10805.5498046875,10805.5498046875,706100.0,^NSEI
11603.4501953125,11680.2998046875,11564.2998046875,11662.400390625,11662.400390625,561400.0,^NSEI
17121.30078125,17223.849609375,17064.44921875,17200.80078125,17200.80078125,261100.0,^NSEI
10119.0,10272.400390625,10072.650390625,10244.400390625,10244.400390625,892100.0,^NSEI
14716.4501953125,14879.7998046875,14649.849609375,14819.0498046875,14819.0498046875,0.0,^NSEI
17541.94921875,17709.150390625,17405.55078125,17648.94921875,17648.94921875,432400.0,^NSEI
19784.0,19795.599609375,19704.599609375,19733.55078125,19733.55078125,298000.0,^NSEI
17863.0,17863.0,17574.05078125,17706.849609375,17706.849609375,357400.0,^NSEI
12932.5,12934.0498046875,12797.099609375,12874.2001953125,12874.2001953125,707700.0,^NSEI
19297.400390625,19339.55078125,19229.69921875,19265.80078125,19265.80078125,466500.0,^NSEI
17414.94921875,17777.650390625,17401.5,17759.30078125,17759.30078125,324700.0,^NSEI
11259.7998046875,11401.7001953125,11253.150390625,11385.349609375,11385.349609375,579200.0,^NSEI
16113.75,16150.5,16045.9501953125,16132.900390625,16132.900390625,264600.0,^NSEI
15839.349609375,15870.7998046875,15772.2998046875,15860.349609375,15860.349609375,314600.0,^NSEI
14449.4501953125,14557.5,14421.2998046875,14485.0,14485.0,452700.0,^NSEI
14798.400390625,14883.2001953125,14692.4501953125,14867.349609375,14867.349609375,445000.0,^NSEI
11627.9501953125,11640.349609375,11399.2998046875,11419.25,11419.25,446000.0,^NSEI
